NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,VOTING AUTHORITY SOLE,VOTING AUTHORITY SHARED,VOTING AUTHORITY NONE,Filing Date
ABBOTT,COMMON STOCK,002824100,244,7000,SH,,SOLE,,7000,0,0,0001291422-13-000004
ABBOTT,COMMON STOCK,002824100,225,6450,SH,,OTR,,6450,0,0,0001291422-13-000004
ABBVIE INC,COMMON STOCK,00287Y109,7851,189922,SH,,SOLE,,188907,0,0,0001291422-13-000004
ABBVIE INC,COMMON STOCK,00287Y109,7851,189922,SH,,SOLE,,0,0,1015,0001291422-13-000004
ABBVIE INC,COMMON STOCK,00287Y109,535,12930,SH,,OTR,,12930,0,0,0001291422-13-000004
ACCENTURE PLC-CL A,COMMON STOCK,G1151C101,5248,72935,SH,,SOLE,,70130,0,0,0001291422-13-000004
ACCENTURE PLC-CL A,COMMON STOCK,G1151C101,5248,72935,SH,,SOLE,,0,0,2805,0001291422-13-000004
ACCENTURE PLC-CL A,COMMON STOCK,G1151C101,202,2803,SH,,OTR,,2803,0,0,0001291422-13-000004
AGILENT TECHNOLOGIES INC,COMMON STOCK,00846U101,5574,130344,SH,,SOLE,,125859,0,0,0001291422-13-000004
AGILENT TECHNOLOGIES INC,COMMON STOCK,00846U101,5574,130344,SH,,SOLE,,0,0,4485,0001291422-13-000004
AGILENT TECHNOLOGIES INC,COMMON STOCK,00846U101,184,4311,SH,,OTR,,4311,0,0,0001291422-13-000004
ALAMO TX CMNTY CLG DIST,MUNICIPAL OBLIG,011420KW5,201,200000,PRN,,SOLE,,200000,0,0,0001291422-13-000004
ALMONT MICH CMNTY SCHS,MUNICIPAL OBLIG,020366EW6,299,300000,PRN,,SOLE,,300000,0,0,0001291422-13-000004
ALMONT MICH CMNTY SCHS,MUNICIPAL OBLIG,020366EX4,298,300000,PRN,,SOLE,,300000,0,0,0001291422-13-000004
AMERICAN BEACON,MUTUAL FUNDS -,02368A638,23202,934809,SH,,SOLE,,885701,0,0,0001291422-13-000004
AMERICAN BEACON,MUTUAL FUNDS -,02368A638,23202,934809,SH,,SOLE,,0,0,49108,0001291422-13-000004
AMERICAN BEACON,MUTUAL FUNDS -,02368A638,1740,70125,SH,,OTR,,69990,0,0,0001291422-13-000004
AMERICAN BEACON,MUTUAL FUNDS -,02368A638,1740,70125,SH,,OTR,,0,0,135,0001291422-13-000004
AMERICAN INCOME FUND OF AMERICA,MUTUAL FUNDS -,453320103,223,11729,SH,,SOLE,,11729,0,0,0001291422-13-000004
AMERICAN INCOME FUND OF AMERICA,MUTUAL FUNDS -,453320814,202,10574,SH,,SOLE,,10574,0,0,0001291422-13-000004
ANADARKO PETROLEUM CORPORATION,COMMON STOCK,032511107,7010,81577,SH,,SOLE,,79362,0,0,0001291422-13-000004
ANADARKO PETROLEUM CORPORATION,COMMON STOCK,032511107,7010,81577,SH,,SOLE,,0,0,2215,0001291422-13-000004
ANADARKO PETROLEUM CORPORATION,COMMON STOCK,032511107,212,2465,SH,,OTR,,2465,0,0,0001291422-13-000004
AON CORPORATION,COMMON STOCK,G0408V102,225,3500,SH,,SOLE,,3500,0,0,0001291422-13-000004
APPLE INC.,COMMON STOCK,037833100,16514,41646,SH,,SOLE,,40355,0,0,0001291422-13-000004
APPLE INC.,COMMON STOCK,037833100,16514,41646,SH,,SOLE,,0,0,1291,0001291422-13-000004
APPLE INC.,COMMON STOCK,037833100,23,58,SH,,DFND,,58,0,0,0001291422-13-000004
APPLE INC.,COMMON STOCK,037833100,401,1011,SH,,OTR,,1011,0,0,0001291422-13-000004
AT&T INC.,COMMON STOCK,00206R102,2261,63872,SH,,SOLE,,57198,0,0,0001291422-13-000004
AT&T INC.,COMMON STOCK,00206R102,2261,63872,SH,,SOLE,,0,0,6674,0001291422-13-000004
AT&T INC.,COMMON STOCK,00206R102,18,500,SH,,DFND,,500,0,0,0001291422-13-000004
ATHENS OH,MUNICIPAL OBLIG,047195HM7,199,200000,PRN,,SOLE,,200000,0,0,0001291422-13-000004
BANK OF HAWAII CORP,COMMON STOCK,062540109,1802,35813,SH,,SOLE,,33423,0,0,0001291422-13-000004
BANK OF HAWAII CORP,COMMON STOCK,062540109,1802,35813,SH,,SOLE,,0,0,2390,0001291422-13-000004
BANK OF HAWAII CORP,COMMON STOCK,062540109,16,325,SH,,DFND,,325,0,0,0001291422-13-000004
BANK OF MONTREAL,COMMON STOCK,063671101,2141,36903,SH,,SOLE,,35263,0,0,0001291422-13-000004
BANK OF MONTREAL,COMMON STOCK,063671101,2141,36903,SH,,SOLE,,0,0,1640,0001291422-13-000004
BANK OF MONTREAL,COMMON STOCK,063671101,14,245,SH,,DFND,,245,0,0,0001291422-13-000004
BANK OF MONTREAL,COMMON STOCK,063671101,32,556,SH,,OTR,,556,0,0,0001291422-13-000004
BEAR STEARNS,CORPORATE BONDS,073902CD8,270,250000,PRN,,SOLE,,250000,0,0,0001291422-13-000004
BMO,MUTUAL FUNDS -,09658L612,260,12232,SH,,SOLE,,12232,0,0,0001291422-13-000004
BOEING CO,COMMON STOCK,097023105,2684,26205,SH,,SOLE,,26205,0,0,0001291422-13-000004
BOEING CO,COMMON STOCK,097023105,43,422,SH,,OTR,,422,0,0,0001291422-13-000004
BP CAPITAL PLC,CORPORATE BONDS,05565QBN7,261,250000,PRN,,SOLE,,250000,0,0,0001291422-13-000004
BP PLC SPONSORED ADR,COMMON STOCK,055622104,2875,68871,SH,,SOLE,,66117,0,0,0001291422-13-000004
BP PLC SPONSORED ADR,COMMON STOCK,055622104,2875,68871,SH,,SOLE,,0,0,2754,0001291422-13-000004
BP PLC SPONSORED ADR,COMMON STOCK,055622104,17,410,SH,,DFND,,410,0,0,0001291422-13-000004
BRISTOL MYERS SQUIBB CO COM,COMMON STOCK,110122108,3597,80480,SH,,SOLE,,76780,0,0,0001291422-13-000004
BRISTOL MYERS SQUIBB CO COM,COMMON STOCK,110122108,3597,80480,SH,,SOLE,,0,0,3700,0001291422-13-000004
BRISTOL MYERS SQUIBB CO COM,COMMON STOCK,110122108,25,555,SH,,DFND,,555,0,0,0001291422-13-000004
BRISTOL MYERS SQUIBB CO COM,COMMON STOCK,110122108,42,934,SH,,OTR,,934,0,0,0001291422-13-000004
BROWN CAPITAL MGMT,MUTUAL FUNDS -,115291403,22742,387889,SH,,SOLE,,367129,0,0,0001291422-13-000004
BROWN CAPITAL MGMT,MUTUAL FUNDS -,115291403,22742,387889,SH,,SOLE,,0,0,20760,0001291422-13-000004
BROWN CAPITAL MGMT,MUTUAL FUNDS -,115291403,1734,29580,SH,,OTR,,29523,0,0,0001291422-13-000004
BROWN CAPITAL MGMT,MUTUAL FUNDS -,115291403,1734,29580,SH,,OTR,,0,0,57,0001291422-13-000004
BROWN CAPITAL MGMT,MUTUAL FUNDS -,115291833,286,4895,SH,,SOLE,,4895,0,0,0001291422-13-000004
BRUNSWICK CNTY N C,MUNICIPAL OBLIG,117061VE8,297,300000,PRN,,SOLE,,300000,0,0,0001291422-13-000004
CAN IMPERIAL BK OF COMMERCE,COMMON STOCK,136069101,1330,18738,SH,,SOLE,,17488,0,0,0001291422-13-000004
CAN IMPERIAL BK OF COMMERCE,COMMON STOCK,136069101,1330,18738,SH,,SOLE,,0,0,1250,0001291422-13-000004
CAN IMPERIAL BK OF COMMERCE,COMMON STOCK,136069101,13,185,SH,,DFND,,185,0,0,0001291422-13-000004
CANON INC ADR,COMMON STOCK,138006309,1504,45758,SH,,SOLE,,42698,0,0,0001291422-13-000004
CANON INC ADR,COMMON STOCK,138006309,1504,45758,SH,,SOLE,,0,0,3060,0001291422-13-000004
CANON INC ADR,COMMON STOCK,138006309,15,460,SH,,DFND,,460,0,0,0001291422-13-000004
CASS CNTY ND,MUNICIPAL OBLIG,148037CK8,206,200000,PRN,,SOLE,,200000,0,0,0001291422-13-000004
CATERPILLAR FINANCIAL SRVCS CORP,CORPORATE BONDS,14912L5H0,299,300000,PRN,,SOLE,,300000,0,0,0001291422-13-000004
CEDAR GROVE - BELGIUM WI,MUNICIPAL OBLIG,150375EX7,209,210000,PRN,,SOLE,,210000,0,0,0001291422-13-000004
CEDAR GROVE - BELGIUM WI,MUNICIPAL OBLIG,150375EY5,199,200000,PRN,,SOLE,,200000,0,0,0001291422-13-000004
CHAGRIN FALLS OH,MUNICIPAL OBLIG,157447KR3,274,275000,PRN,,SOLE,,275000,0,0,0001291422-13-000004
CHEVRON TEXACO CORP,COMMON STOCK,166764100,9920,83825,SH,,SOLE,,79905,0,0,0001291422-13-000004
CHEVRON TEXACO CORP,COMMON STOCK,166764100,9920,83825,SH,,SOLE,,0,0,3920,0001291422-13-000004
CHEVRON TEXACO CORP,COMMON STOCK,166764100,20,170,SH,,DFND,,170,0,0,0001291422-13-000004
CHEVRON TEXACO CORP,COMMON STOCK,166764100,284,2396,SH,,OTR,,2396,0,0,0001291422-13-000004
CHIPPEWA FALLS WI,MUNICIPAL OBLIG,169772VS6,250,255000,PRN,,SOLE,,255000,0,0,0001291422-13-000004
CHUBB CORP,COMMON STOCK,171232101,5791,68411,SH,,SOLE,,65936,0,0,0001291422-13-000004
CHUBB CORP,COMMON STOCK,171232101,5791,68411,SH,,SOLE,,0,0,2475,0001291422-13-000004
CHUBB CORP,COMMON STOCK,171232101,261,3078,SH,,OTR,,3078,0,0,0001291422-13-000004
CISCO SYS INC COM,COMMON STOCK,17275R102,1106,45448,SH,,SOLE,,45448,0,0,0001291422-13-000004
COLGATE PALMOLIVE CO COM,COMMON STOCK,194162103,57,998,SH,,SOLE,,998,0,0,0001291422-13-000004
COLGATE PALMOLIVE CO COM,COMMON STOCK,194162103,155,2700,SH,,OTR,,2700,0,0,0001291422-13-000004
COLORADO SPRINGS CO,MUNICIPAL OBLIG,196632MH3,545,500000,PRN,,SOLE,,500000,0,0,0001291422-13-000004
COLUMBUS OH,MUNICIPAL OBLIG,199492AD1,492,500000,PRN,,SOLE,,500000,0,0,0001291422-13-000004
CONOCOPHILLIPS,COMMON STOCK,20825C104,2264,37414,SH,,SOLE,,35299,0,0,0001291422-13-000004
CONOCOPHILLIPS,COMMON STOCK,20825C104,2264,37414,SH,,SOLE,,0,0,2115,0001291422-13-000004
CONOCOPHILLIPS,COMMON STOCK,20825C104,19,310,SH,,DFND,,310,0,0,0001291422-13-000004
CONOCOPHILLIPS,COMMON STOCK,20825C104,12,200,SH,,OTR,,200,0,0,0001291422-13-000004
CREDIT SUISSE,MUTUAL FUNDS -,22544R107,914,129518,SH,,SOLE,,129518,0,0,0001291422-13-000004
CREDIT SUISSE NEW YORK,CORPORATE BONDS,22546QAE7,261,250000,PRN,,SOLE,,250000,0,0,0001291422-13-000004
CRYSTAL GRAPHITE CORPORATION,COMMON STOCK,229248109,0,300000,SH,,SOLE,,300000,0,0,0001291422-13-000004
CVS/CAREMARK CORP,COMMON STOCK,126650100,6968,121853,SH,,SOLE,,117078,0,0,0001291422-13-000004
CVS/CAREMARK CORP,COMMON STOCK,126650100,6968,121853,SH,,SOLE,,0,0,4775,0001291422-13-000004
CVS/CAREMARK CORP,COMMON STOCK,126650100,272,4756,SH,,OTR,,4756,0,0,0001291422-13-000004
D R HORTON INC.,COMMON STOCK,23331A109,8940,420115,SH,,SOLE,,408175,0,0,0001291422-13-000004
D R HORTON INC.,COMMON STOCK,23331A109,8940,420115,SH,,SOLE,,0,0,11940,0001291422-13-000004
D R HORTON INC.,COMMON STOCK,23331A109,301,14147,SH,,OTR,,14147,0,0,0001291422-13-000004
DANA MOLDED PRODUCTS INC CLASS B,COMMON STOCK,239002991,0,87029,SH,,OTR,,87029,0,0,0001291422-13-000004
DE KALB CNTY IL,MUNICIPAL OBLIG,240559BQ6,303,300000,PRN,,SOLE,,300000,0,0,0001291422-13-000004
DES PERES MO,MUNICIPAL OBLIG,250199EM4,531,500000,PRN,,SOLE,,500000,0,0,0001291422-13-000004
DEUTSCHE BK LOND DB,CORPORATE BONDS,2515A0U76,261,250000,PRN,,SOLE,,250000,0,0,0001291422-13-000004
DISNEY,COMMON STOCK,254687106,7046,111576,SH,,SOLE,,108796,0,0,0001291422-13-000004
DISNEY,COMMON STOCK,254687106,7046,111576,SH,,SOLE,,0,0,2780,0001291422-13-000004
